Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
9/22/1992,17.5,22.5,17.5,22.5,0,0,0,0,,,5,5
9/21/1992,17.5,17.5,17.5,17.5,0,0,0,0,,,0,0
9/15/1992,20,20,20,20,0,0,0,0,,,0,0
9/14/1992,20,20,20,20,0,0,0,0,,,0,0
9/9/1992,15,25,15,20,0,0,0,0,,,10,5
9/8/1992,15,20,15,20,0,0,0,0,,,5,5
9/7/1992,15,15,15,15,0,0,0,0,,,0,0
9/3/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
9/2/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
8/24/1992,15,15,15,15,0,0,0,0,,,0,0
8/12/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/11/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/6/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/5/1992,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
8/4/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
8/3/1992,10,15,10,15,0,0,0,0,,,5,5
7/31/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/30/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/29/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
7/23/1992,14,14,14,14,0,0,0,0,,,0,0
7/21/1992,15,15,15,15,0,0,0,0,,,0,0
7/20/1992,15,15,15,15,0,0,0,0,,,0,0
6/10/1992,15,20,15,20,0,0,0,0,,,5,5
6/9/1992,15,20,15,20,0,0,0,0,,,5,5
6/8/1992,15,20,15,20,0,0,0,0,,,5,5
6/5/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
6/4/1992,15,20,15,20,0,0,0,0,,,5,5
6/3/1992,15,20,15,20,0,0,0,0,,,5,5
6/2/1992,16.25,18.75,16.25,18.75,0,0,0,0,,,2.5,2.5
6/1/1992,16.25,16.25,16.25,16.25,0,0,0,0,,,0,0
5/29/1992,20,20,20,20,0,0,0,0,,,0,0
5/28/1992,20,25,20,25,0,0,0,0,,,5,5
5/27/1992,20,20,20,20,0,0,0,0,,,0,0
5/26/1992,20,25,20,25,0,0,0,0,,,5,5
5/25/1992,20,25,20,25,0,0,0,0,,,5,5
5/22/1992,20,25,20,25,0,0,0,0,,,5,5
5/20/1992,22.5,27.5,22.5,27.5,0,0,0,0,,,5,5
5/19/1992,20,25,20,25,0,0,0,0,,,5,5
5/18/1992,20,25,20,25,0,0,0,0,,,5,5
5/14/1992,20,25,20,25,0,0,0,0,,,5,5
5/13/1992,20,25,20,25,0,0,0,0,,,5,5
5/12/1992,20,20,20,20,0,0,0,0,,,0,0
5/11/1992,20,20,17.5,20,0,0,0,0,,,2.5,0
5/7/1992,25,25,17.5,25,0,0,0,0,,,7.5,0
5/6/1992,20,20,20,20,0,0,0,0,,,0,0
4/30/1992,25,35,25,35,0,0,0,0,,,10,10
4/29/1992,30,30,25,30,0,0,0,0,,,5,0
4/28/1992,40,40,20,40,0,0,0,0,,,20,0
4/22/1992,45,50,45,50,0,0,0,0,,,5,5
4/13/1992,40,40,40,40,0,0,0,0,,,0,0
4/10/1992,40,45,40,45,0,0,0,0,,,5,5
4/7/1992,32.5,32.5,32.5,32.5,0,0,0,0,,,0,0
3/25/1992,25,32.5,25,30,0,0,0,0,,,7.5,5
3/20/1992,20,25,20,25,0,0,0,0,,,5,5
3/18/1992,22.5,25,22.5,25,0,0,0,0,,,2.5,2.5
